school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,0,1,0,0,1,0,4,4,0,1,1,0,1,2,0,1,0,0,1,0,0,0,1,3,3,3,1,2,2,0,1,0,0,266.0
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,0,1,0,0,1,0,2,1,2,4,1,1,3,3,0,1,0,1,0,0,0,0,1,5,2,2,1,1,4,0,1,1,1,132.0
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,0,0,0,0,0,0,4,4,1,2,2,1,1,1,0,1,0,0,0,0,0,0,1,4,3,3,1,3,5,0,1,1,1,74.0
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,0,0,0,0,1,0,4,3,0,4,2,0,2,2,0,1,0,0,1,0,0,0,1,5,4,3,1,2,3,0,1,1,1,164.0
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,0,0,0,0,1,1,2,2,4,4,0,2,1,3,0,1,0,1,1,0,0,0,0,4,5,2,1,1,3,0,1,1,1,25.0
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,0,1,0,0,1,0,4,4,1,4,0,0,1,1,0,1,0,1,1,0,0,0,1,4,4,4,1,2,2,0,1,1,1,75.0
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,0,1,0,0,1,0,4,4,2,2,1,0,1,3,0,1,0,0,0,0,0,0,1,3,2,3,1,2,2,0,1,1,1,76.0
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,0,1,0,0,1,0,3,3,4,4,1,0,3,2,0,0,0,1,0,0,0,1,1,5,3,2,1,1,4,0,0,1,1,212.0
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,0,0,0,0,1,0,3,2,2,2,2,0,1,1,3,1,0,1,0,0,0,0,1,5,5,5,2,4,5,0,0,0,0,350.0
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,0,0,0,0,0,0,4,3,1,4,0,1,1,1,0,1,1,0,0,0,0,0,1,3,1,3,1,3,5,0,0,1,1,213.0
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,0,0,0,0,1,0,4,3,0,4,1,0,1,2,0,1,1,1,1,0,0,0,1,4,4,1,1,1,1,0,1,1,1,44.0
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,0,0,0,0,1,0,4,4,1,1,3,1,1,1,0,1,0,0,1,0,0,0,1,5,4,2,1,1,5,0,1,1,1,45.0
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,0,0,0,0,0,0,4,2,0,4,2,0,1,2,0,1,1,1,0,0,0,0,1,4,5,1,1,3,5,0,1,1,1,26.0
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,0,0,0,0,0,0,2,2,4,4,1,0,2,2,0,1,0,1,0,0,0,0,1,5,4,4,2,4,5,0,1,1,1,133.0
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,0,1,0,1,1,0,2,4,2,1,2,0,1,3,0,0,0,0,0,0,0,0,1,4,3,2,1,1,5,0,1,0,0,294.0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,0,1,0,0,1,0,2,2,2,2,0,0,1,1,2,1,0,0,1,1,0,0,1,1,2,2,1,3,5,0,0,0,0,295.0
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,0,0,0,0,1,0,2,2,4,4,0,0,1,1,0,1,0,0,1,0,0,0,1,4,2,2,1,2,5,0,1,1,1,165.0
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,0,0,0,0,1,0,4,2,1,2,3,0,1,1,0,1,1,0,1,0,0,0,1,2,2,4,2,4,1,0,1,1,1,46.0
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,0,0,0,0,0,1,3,4,2,4,0,0,1,2,0,0,0,1,0,0,0,0,1,5,3,3,1,1,5,0,1,1,1,166.0
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,0,0,0,0,1,0,4,4,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,4,4,5,5,5,5,0,1,1,1,167.0
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,0,0,0,0,1,0,4,4,1,2,0,0,1,2,0,1,0,0,1,1,0,0,1,5,4,2,3,4,5,0,0,1,1,134.0
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,0,0,0,0,1,0,4,4,2,2,1,0,2,2,0,1,0,1,0,0,0,0,1,4,3,1,1,1,5,0,1,1,1,19.0
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,0,0,0,1,1,0,4,3,0,3,2,0,1,2,0,1,0,1,0,0,0,0,0,4,5,2,1,1,5,0,1,1,1,27.0
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,0,0,0,0,0,0,3,3,4,4,2,0,1,2,0,1,1,1,0,1,0,0,1,5,3,2,1,1,2,0,0,1,1,135.0
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,0,0,0,0,1,0,3,2,4,4,0,0,1,1,0,1,0,0,1,1,0,0,1,5,4,3,1,1,5,0,1,1,1,47.0
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,0,1,0,0,1,0,2,3,4,4,3,1,2,1,0,1,0,1,0,0,0,1,1,3,5,1,1,1,5,0,0,0,0,338.0
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,0,0,0,0,0,0,4,3,0,2,0,0,1,3,0,1,0,1,0,0,0,0,1,5,4,3,1,1,4,0,1,1,1,7.0
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,0,0,0,1,1,1,4,4,4,0,1,0,2,3,0,1,0,1,0,0,0,0,0,2,4,3,1,1,5,0,1,1,1,48.0
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,0,1,0,1,1,0,3,4,2,1,2,0,1,3,0,0,0,0,0,0,0,0,1,4,3,2,1,1,5,0,1,1,1,168.0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,0,1,0,1,1,0,2,2,3,4,1,0,1,1,0,0,0,0,0,0,0,1,1,4,3,1,1,1,2,0,1,1,1,101.0
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,0,1,0,0,0,0,2,2,4,4,0,0,2,2,1,1,0,1,0,1,0,0,0,3,3,3,1,2,3,0,0,1,1,169.0
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,0,0,0,0,0,0,4,4,0,4,0,2,1,1,0,1,0,1,1,1,0,0,0,5,4,3,2,4,5,0,1,1,1,136.0
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,0,0,0,0,1,0,4,4,2,0,2,1,1,2,0,1,0,1,0,0,0,0,1,4,3,3,1,1,5,0,1,1,1,8.0
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,0,0,0,0,1,0,2,2,2,2,2,1,1,1,0,0,0,1,1,0,0,0,1,5,4,1,1,1,1,0,0,0,1,170.0
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,0,1,0,0,0,0,2,2,4,3,2,1,2,2,1,0,1,1,0,0,0,0,1,4,3,3,2,2,5,0,1,1,0,267.0
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,0,1,0,0,0,1,4,3,4,4,2,0,1,2,0,0,0,0,0,0,0,0,0,5,2,2,1,1,5,0,0,0,0,339.0
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,0,1,0,0,0,1,3,3,4,2,0,0,1,2,0,1,0,1,1,0,0,0,1,2,3,5,1,4,3,0,1,1,1,171.0
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,1,1,1,1.0
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,0,0,0,0,1,0,4,2,0,4,0,0,1,2,0,1,0,0,1,0,0,1,1,4,3,3,2,2,5,0,1,1,1,77.0
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,0,1,0,0,1,0,4,4,2,0,3,1,1,2,1,0,0,1,0,1,0,0,1,4,4,4,1,1,3,0,0,0,0,326.0
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,0,1,0,0,0,0,2,2,2,2,2,0,3,2,0,1,0,0,1,0,0,0,1,4,3,3,2,3,4,0,1,1,1,102.0
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,0,1,0,0,0,0,4,2,1,4,3,0,1,2,0,1,0,0,1,0,0,0,1,4,3,3,1,1,5,0,1,1,1,103.0
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,0,0,0,0,0,1,4,2,1,1,3,1,2,1,1,1,1,1,1,0,0,1,1,5,5,5,3,4,5,0,1,1,1,214.0
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,0,1,0,0,1,0,4,4,2,2,2,0,1,1,0,0,0,0,1,0,0,0,1,3,3,4,2,3,5,0,0,1,1,172.0
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,0,1,0,0,0,1,3,3,4,4,3,0,1,1,0,1,1,0,1,0,0,0,1,5,3,4,4,4,1,0,1,1,1,104.0
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,0,1,0,0,1,1,2,1,4,4,3,0,1,2,0,1,1,0,0,0,0,0,0,5,3,4,1,1,2,0,0,0,1,215.0
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,0,1,0,0,1,1,4,3,2,2,1,0,1,2,0,1,0,0,0,0,0,0,1,4,3,2,1,1,1,0,1,1,1,49.0
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,0,0,0,0,1,0,4,4,0,1,1,0,1,2,0,1,0,1,0,0,0,1,1,3,2,2,1,1,5,0,1,1,1,50.0
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,0,0,0,0,0,0,1,2,4,3,0,1,1,2,0,0,0,1,0,0,0,0,1,4,3,2,1,1,5,0,0,1,0,268.0
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,0,1,0,0,1,0,4,2,2,4,2,0,1,2,0,1,0,1,1,0,0,0,1,4,2,3,1,1,5,0,1,1,1,28.0
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,0,1,0,1,1,0,4,4,1,0,3,0,1,2,0,1,0,1,0,0,0,1,1,2,4,4,2,3,4,0,1,1,1,173.0
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,0,1,0,0,1,0,1,1,2,2,2,1,4,1,0,0,0,1,0,1,0,0,0,5,5,5,5,5,5,0,1,0,1,174.0
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,0,1,0,0,0,0,1,2,4,2,1,1,1,2,0,0,1,1,0,0,0,0,1,4,4,3,1,1,1,0,0,1,0,269.0
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,0,1,0,0,1,0,4,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,3,4,4,2,4,4,0,1,0,0,270.0
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,0,1,0,0,0,0,4,3,2,2,1,1,1,2,0,0,1,1,0,0,0,0,0,4,4,4,2,4,2,0,1,1,1,216.0
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,0,1,0,0,0,0,4,3,0,2,2,0,3,2,0,1,0,1,0,0,0,0,1,5,4,3,1,2,1,0,1,1,1,51.0
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,0,0,0,0,1,1,4,4,4,2,1,0,1,4,0,1,0,1,0,1,0,0,0,1,3,3,5,5,3,0,1,1,1,137.0
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,0,1,0,0,1,0,3,1,2,4,2,0,1,4,0,0,0,0,1,0,0,0,1,4,3,3,1,2,5,0,0,0,0,340.0
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,0,1,0,1,0,0,2,2,1,2,1,0,2,2,0,0,0,0,1,0,0,0,1,4,1,3,1,3,4,0,0,0,0,296.0
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,0,1,0,1,0,0,3,1,4,4,1,1,2,4,0,1,0,1,1,1,0,0,1,4,4,2,2,3,3,0,1,1,1,29.0
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,0,0,0,0,1,0,3,1,4,4,1,1,2,4,0,1,0,0,1,0,0,0,1,4,3,2,1,1,5,0,1,1,1,52.0
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,0,0,0,0,1,0,4,2,4,4,2,0,1,4,0,1,1,1,1,0,0,0,1,3,3,3,1,1,3,0,1,1,1,217.0
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,0,1,0,1,1,0,1,1,4,4,1,0,1,2,2,0,0,1,1,1,0,0,0,3,3,4,2,4,5,0,0,0,0,351.0
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,0,0,0,0,1,0,3,1,4,4,1,0,1,1,0,1,1,1,0,0,0,1,1,5,3,2,2,2,5,0,1,1,1,78.0
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,0,1,0,0,1,0,3,3,4,2,0,0,1,2,0,0,0,0,0,0,0,0,1,4,3,3,2,4,5,1,1,1,1,175.0
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,0,0,0,0,1,0,4,3,0,4,0,0,1,2,0,1,0,0,0,0,0,0,1,4,3,3,2,3,5,0,0,0,1,218.0
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,0,0,0,0,1,0,4,0,0,4,2,0,2,4,0,1,1,1,0,0,0,0,1,3,4,3,1,1,1,0,1,1,1,219.0
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,0,1,0,0,1,0,2,2,4,4,1,0,1,4,0,1,1,0,1,0,0,0,0,5,2,3,1,3,3,0,1,1,1,176.0
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,0,0,0,0,1,0,2,1,4,4,0,0,2,1,3,0,0,1,0,0,1,0,1,4,5,1,1,1,3,0,0,0,1,220.0
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,0,1,0,0,1,0,3,4,3,4,2,0,1,2,0,1,0,1,1,0,0,0,1,2,4,3,1,2,3,0,0,0,0,352.0
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,0,0,0,0,1,0,2,3,4,2,2,1,1,1,0,0,0,0,0,1,0,0,0,3,2,2,1,3,3,0,1,1,1,138.0
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,0,0,0,0,1,0,2,3,4,4,0,0,1,3,0,0,1,0,1,1,0,0,1,5,3,2,1,2,5,0,1,1,1,177.0
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,0,1,0,0,0,0,3,2,2,4,1,0,1,2,0,1,0,0,1,0,0,0,1,4,4,4,1,1,5,0,0,0,0,341.0
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,0,0,0,0,0,0,2,2,2,2,0,0,2,2,0,1,1,0,0,0,0,0,1,5,3,3,1,3,4,0,1,1,1,53.0
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,0,1,0,0,1,0,1,1,4,4,0,1,1,2,0,1,0,1,0,1,0,0,1,4,3,2,2,3,4,0,0,1,1,221.0
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,0,1,0,0,1,0,4,4,2,2,1,1,2,2,2,1,1,0,1,0,0,0,0,4,4,4,2,3,5,0,0,0,0,297.0
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,0,1,0,0,0,0,2,2,3,4,2,0,1,2,0,1,0,1,1,0,0,1,1,4,3,4,1,2,2,0,0,0,0,342.0
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,0,1,0,0,1,0,4,2,4,4,1,0,1,3,0,1,0,1,0,0,0,0,1,5,3,3,1,3,1,0,1,1,1,79.0
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,0,0,0,0,1,0,2,2,2,4,1,1,2,2,1,1,1,0,0,1,0,0,1,4,4,2,1,1,3,0,1,1,1,222.0
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,0,0,0,0,0,1,4,4,0,1,1,0,1,2,0,1,0,1,1,0,0,1,1,4,1,3,3,5,5,0,0,0,0,327.0
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,0,1,0,0,1,0,3,3,4,4,0,0,1,3,0,1,0,0,1,0,0,0,0,4,3,3,1,3,4,0,0,0,0,298.0
