,sexC,ageC,raceC,MC,priors_count_C
187,0,1,3,0,2
188,0,2,1,0,1
189,1,1,1,0,0
190,0,2,1,2,4
191,1,1,0,0,23
192,0,1,3,4,5
193,0,1,0,0,2
194,0,1,0,0,0
195,1,1,0,0,0
196,0,2,1,3,11
197,1,1,1,0,7
198,0,1,0,4,2
199,0,1,1,0,2
200,1,1,0,0,1
201,0,2,1,5,7
202,0,1,0,2,15
203,0,1,0,0,2
204,0,2,0,0,3
205,0,1,2,0,0
206,0,3,1,1,1
207,1,2,1,0,0
208,0,2,1,0,0
209,0,1,3,0,1
210,0,2,0,1,0
211,1,1,0,0,2
212,1,2,0,0,5
213,0,1,0,0,0
214,0,1,3,0,4
215,0,2,0,0,11
216,0,1,0,0,2
217,1,1,0,0,2
218,0,2,0,0,0
219,0,2,1,0,0
220,0,2,1,0,13
221,0,2,0,3,0
222,0,1,0,4,11
223,0,1,1,0,1
224,0,1,0,0,0
225,0,1,0,0,4
226,0,1,2,0,4
227,0,1,1,0,0
228,0,1,1,0,0
229,0,1,0,0,14
230,0,1,0,0,4
231,0,2,1,0,1
232,0,1,0,0,25
233,0,2,1,0,8
234,0,1,0,0,0
235,0,1,1,0,1
236,1,1,3,0,0
237,1,1,3,0,3
238,0,1,1,2,8
239,0,1,1,0,4
240,0,1,0,0,3
241,1,1,1,0,1
242,0,1,0,0,3
243,1,1,2,1,0
244,0,1,2,0,1
245,1,1,1,0,5
246,0,1,2,0,0
247,0,1,0,0,1
248,0,0,0,0,1
249,0,1,0,0,2
250,0,1,3,0,0
251,0,1,0,0,4
252,0,1,1,0,2
253,1,1,0,0,2
254,0,0,0,0,0
255,0,1,2,0,0
256,1,2,0,1,0
257,1,1,0,0,0
258,1,2,0,0,0
259,0,3,0,5,8
260,0,1,1,0,0
261,0,1,1,0,0
262,0,1,0,0,11
263,0,1,0,0,3
264,1,1,1,0,1
265,0,1,0,0,2
266,0,1,1,0,2
267,1,2,0,2,2
268,1,1,3,0,0
269,0,2,0,0,24
270,0,2,0,0,3
271,0,2,0,0,0
272,0,1,1,0,3
273,0,1,0,0,3
274,0,3,1,1,1
275,0,2,1,0,6
276,0,2,1,0,3
277,0,1,0,0,0
278,0,1,0,0,1
279,0,1,2,1,3
280,0,1,1,0,5
281,0,0,0,0,1
282,0,1,0,0,5
283,0,1,1,0,0
284,0,1,0,0,5
285,0,1,0,0,2
286,0,1,0,0,6
287,0,1,3,0,0
288,0,1,1,0,1
289,0,2,1,1,2
290,1,1,0,4,0
291,0,1,0,0,1
292,0,1,0,0,4
293,0,3,1,5,0
294,0,1,0,0,4
295,0,1,1,0,5
296,0,2,3,2,2
297,1,1,0,0,5
298,0,1,2,0,0
299,0,1,0,0,0
300,0,2,1,0,0
301,0,1,1,0,3
302,1,2,1,5,0
303,0,1,3,0,9
304,0,1,0,0,0
305,0,0,0,0,0
306,1,2,1,1,0
307,0,2,1,0,0
308,0,1,0,0,7
309,0,0,0,0,0
310,0,2,1,0,6
311,0,1,1,0,8
312,0,1,0,0,2
313,0,2,1,0,36
314,0,1,1,4,2
315,0,2,0,0,1
316,0,1,2,0,3
317,1,1,0,0,0
318,1,1,1,6,2
319,1,1,2,0,1
320,0,1,1,0,1
321,1,1,0,0,0
322,0,1,1,1,0
323,0,1,0,0,0
324,0,1,0,0,3
325,0,1,3,0,1
326,0,1,0,0,0
327,1,1,1,0,0
328,0,2,2,2,1
329,0,1,3,1,3
330,1,1,0,0,2
331,0,1,0,0,12
332,0,1,0,0,1
333,0,2,0,0,3
334,1,1,2,0,1
335,0,1,1,0,0
336,0,0,0,0,2
337,0,1,2,0,0
338,0,1,3,1,0
339,1,1,1,4,0
340,0,3,1,0,0
341,0,1,1,0,2
342,0,1,0,0,6
343,0,1,1,0,0
344,1,1,0,0,0
345,0,2,0,0,3
346,0,1,0,0,2
347,1,2,1,0,0
348,1,1,0,0,0
349,0,1,0,0,3
350,0,1,2,5,2
351,1,0,3,0,1
352,0,1,2,0,1
353,0,1,0,0,1
354,0,1,1,0,2
355,0,2,0,0,18
356,0,1,0,0,4
357,0,1,0,0,0
358,0,1,1,5,1
359,1,2,1,1,1
360,0,1,1,1,0
361,0,1,0,0,7
362,1,2,1,0,1
363,1,1,0,0,0
364,0,1,0,1,1
365,0,1,1,0,1
366,0,1,0,0,6
367,0,1,0,0,4
368,0,1,1,0,3
369,0,1,0,0,23
370,0,1,0,0,2
371,0,2,0,0,2
372,0,2,0,5,1
373,0,1,0,0,7
374,0,2,1,0,23
375,1,2,1,0,0
376,0,1,0,0,12
377,0,1,0,0,5
378,0,1,1,1,3
379,1,1,2,0,0
380,0,2,1,0,5
381,0,1,0,0,14
382,0,1,0,0,2
383,0,1,0,0,0
384,0,1,0,0,6
385,0,1,1,0,0
386,0,3,1,1,2
387,0,1,0,0,9
388,0,2,1,0,4
389,0,1,0,0,3
390,0,2,3,0,4
391,0,1,2,0,1
392,1,1,1,0,0
393,0,2,1,0,0
394,1,1,0,0,0
395,1,1,0,0,1
396,0,2,0,0,11
397,0,1,1,0,0
398,0,1,2,0,0
399,0,1,1,0,0
400,1,2,1,3,2
401,0,1,1,0,1
402,0,1,0,0,8
403,0,2,3,0,1
404,0,0,0,0,0
405,0,1,1,0,0
406,0,1,0,0,8
407,0,2,0,0,21
408,0,1,0,0,3
409,0,2,2,6,1
410,0,1,1,0,0
411,0,2,0,0,1
412,0,1,0,0,3
413,0,1,1,0,3
414,0,1,1,1,0
415,0,1,0,0,2
416,1,1,0,0,3
417,0,0,1,0,1
418,0,1,1,0,2
419,1,1,1,0,0
420,0,1,1,0,0
421,0,1,2,1,2
422,0,0,0,0,1
423,0,1,2,0,2
424,0,1,0,0,1
425,0,3,1,1,4
426,1,2,0,0,3
427,0,1,0,0,1
428,0,1,1,4,0
429,0,2,0,1,16
430,1,2,0,0,2
431,0,2,1,0,0
432,0,0,3,0,0
433,0,1,0,0,13
434,1,2,0,0,16
435,0,1,0,0,1
436,0,1,0,0,3
437,0,2,1,1,6
438,0,1,1,0,1
439,1,1,3,0,4
440,0,2,0,0,5
441,0,1,0,0,10
442,0,1,0,0,5
443,0,3,1,5,2
444,0,2,0,1,0
445,0,1,0,0,6
446,0,2,0,0,28
447,0,1,0,2,8
448,1,1,0,0,6
449,0,2,0,1,2
450,0,2,0,0,12
451,0,1,1,0,1
452,0,1,0,0,1
453,0,0,0,0,1
454,0,2,1,1,0
455,0,1,2,0,0
456,0,1,1,0,3
457,0,2,1,0,3
458,0,1,1,0,4
459,0,2,1,0,0
460,0,1,2,0,4
461,0,2,1,1,1
462,0,1,3,0,0
463,0,2,2,0,1
464,0,1,2,0,2
465,1,1,1,0,6
466,0,1,1,0,2
467,0,1,0,0,2
468,0,2,3,5,5
469,0,1,0,0,1
470,1,1,1,0,0
471,0,1,1,6,0
472,0,2,0,1,0
473,0,1,0,0,4
474,0,1,0,5,0
475,0,1,0,0,4
476,0,1,1,0,1
477,0,1,2,0,7
478,0,2,2,0,20
479,0,3,0,0,33
480,0,2,1,2,1
481,0,1,1,4,1
482,0,1,0,0,1
483,0,2,1,0,4
484,1,1,0,0,12
485,0,2,3,0,12
486,1,1,0,1,0
487,1,2,1,5,0
488,0,1,2,0,7
489,0,1,3,0,2
490,0,1,0,0,2
491,1,1,0,0,6
492,0,1,3,0,0
493,0,2,0,0,10
494,0,1,0,0,5
495,0,1,1,0,0
496,0,2,1,5,1
497,0,2,0,0,4
498,0,0,0,0,0
499,0,1,1,0,4
500,0,1,1,0,0
501,0,1,1,0,0
502,0,1,1,0,6
503,0,1,0,0,1
504,0,1,0,0,0
505,0,1,0,0,6
506,0,1,1,0,1
507,0,1,1,0,0
508,0,1,3,0,1
509,0,1,1,0,0
510,0,1,2,0,20
511,0,1,0,0,0
512,0,2,0,1,14
513,0,1,1,0,9
514,0,1,1,0,6
515,0,1,2,0,0
516,0,2,1,0,1
517,0,1,0,0,5
518,0,2,2,0,2
519,0,2,1,1,2
520,0,2,0,0,1
521,0,1,0,0,0
522,0,1,1,0,2
523,1,2,2,1,1
524,0,2,0,0,8
525,0,2,0,1,6
526,0,1,0,0,3
527,1,2,3,0,0
528,0,1,0,0,3
529,0,1,0,0,3
530,0,3,1,0,1
531,0,1,0,0,3
532,0,2,0,2,3
533,0,1,0,0,0
534,0,2,1,5,1
535,0,1,0,0,16
536,1,1,0,1,0
537,0,1,0,0,1
538,0,1,1,0,2
539,0,1,1,0,5
540,0,1,2,0,8
541,0,1,0,0,5
542,0,2,1,0,11
543,1,1,0,0,6
544,0,2,1,0,0
545,0,1,0,0,15
546,0,1,2,1,4
547,1,1,0,0,0
548,0,1,1,0,1
549,0,3,2,1,1
550,1,2,1,5,2
551,0,2,1,0,5
552,0,1,1,0,8
553,0,3,1,0,0
554,1,2,1,5,0
555,0,1,0,0,5
556,1,1,1,0,0
557,0,1,1,0,1
558,0,1,3,0,0
559,0,1,0,0,10
560,0,1,2,0,0
561,0,1,3,0,1
562,0,1,0,0,4
563,0,1,0,0,4
564,0,1,0,0,0
565,1,1,1,0,0
566,0,1,0,1,0
567,0,0,2,0,0
568,0,1,2,1,1
569,1,1,1,0,0
570,0,0,0,0,1
571,0,1,0,0,3
572,0,1,0,0,3
573,0,2,0,0,17
574,0,1,0,4,0
575,0,1,0,0,11
576,1,1,0,0,1
577,0,1,2,0,1
578,0,1,0,4,1
579,0,1,1,0,6
580,0,2,0,1,1
581,1,2,1,5,0
582,0,1,1,0,2
583,0,1,0,0,5
584,0,1,1,0,0
585,0,1,0,0,0
586,0,2,2,0,1
587,0,1,0,0,4
588,0,2,1,5,0
589,0,1,2,0,6
590,0,1,0,0,6
591,0,2,0,0,9
592,1,1,1,0,3
593,1,1,0,0,0
594,1,0,1,0,2
595,0,1,0,0,1
596,0,1,0,0,0
597,0,3,0,0,15
598,0,1,0,0,4
599,0,1,2,0,0
600,0,0,0,0,4
601,0,1,1,0,3
602,0,1,1,0,5
603,0,1,1,0,1
604,0,1,1,0,3
605,0,1,0,1,0
606,0,1,0,0,18
607,1,1,1,1,0
608,0,1,3,0,0
609,1,2,0,1,4
610,1,2,1,0,0
611,0,1,0,0,0
612,1,1,0,0,0
613,0,1,0,0,0
614,0,1,1,0,1
615,0,1,1,0,2
616,0,1,1,2,3
617,0,1,0,0,8
618,1,1,0,0,10
619,1,2,1,0,1
620,0,1,0,0,4
621,0,1,1,5,2
622,0,1,0,0,0
623,0,1,0,0,1
624,1,1,0,0,9
625,0,1,0,0,13
626,0,1,1,0,1
627,0,1,0,0,23
628,0,2,0,0,20
629,0,1,0,0,3
630,0,1,0,0,1
631,0,1,2,0,2
632,0,3,0,0,2
633,0,1,0,0,0
634,1,1,0,0,0
635,0,2,1,1,1
636,0,2,2,1,0
637,0,1,0,0,0
638,0,1,0,0,11
639,0,1,3,0,4
640,0,1,1,1,5
641,0,1,0,0,2
642,0,2,3,0,0
643,1,1,0,0,0
644,1,2,1,0,2
645,0,1,0,0,0
646,0,1,0,1,0
647,0,2,0,0,17
648,0,1,0,0,3
649,1,1,1,0,0
650,1,1,1,0,15
651,0,1,2,0,7
652,0,1,0,0,2
653,0,1,0,0,3
654,0,2,1,0,3
655,0,1,0,0,15
656,1,1,0,0,2
657,0,1,0,0,5
658,0,1,0,0,4
659,0,1,0,0,1
660,0,2,0,0,14
661,0,2,1,5,2
662,0,1,0,0,3
663,0,1,0,0,2
664,0,1,0,0,4
665,0,2,1,0,2
666,0,2,0,0,20
667,0,1,0,0,2
668,0,1,0,0,1
669,0,2,0,0,1
670,0,2,0,0,0
671,0,1,0,0,6
672,0,1,0,0,10
673,0,1,0,0,10
674,1,2,1,0,9
675,0,2,1,1,1
676,0,1,0,0,0
677,0,1,2,0,0
678,1,2,1,5,2
679,0,1,0,0,0
680,0,2,0,1,1
681,0,2,0,1,18
682,0,2,0,0,0
683,0,1,0,0,1
684,0,1,1,0,1
685,0,3,1,0,0
686,0,1,1,0,0
687,0,1,2,0,1
688,0,1,1,0,0
689,0,3,1,3,0
690,0,2,1,0,2
691,0,1,1,0,1
692,1,1,2,2,1
693,0,1,0,0,0
694,0,1,1,0,11
695,0,2,1,5,1
696,0,1,1,0,1
697,0,2,0,4,0
698,1,1,0,0,4
699,0,2,0,4,2
700,1,2,1,1,1
701,0,1,0,0,6
702,0,1,0,0,0
703,0,1,0,0,0
704,0,1,0,0,0
705,0,2,0,0,11
706,0,1,0,0,10
707,0,1,0,0,0
708,1,1,1,0,0
709,0,1,3,1,0
710,0,1,1,0,22
711,0,1,0,0,0
712,1,2,1,0,0
713,0,1,1,0,1
714,0,1,0,0,7
715,1,1,0,0,1
716,0,3,0,5,8
717,0,1,0,0,10
718,1,1,0,0,0
719,0,0,0,0,0
720,1,1,0,0,3
721,0,1,0,0,2
722,0,1,0,0,4
723,0,1,2,0,5
724,1,2,0,0,19
725,0,1,3,0,1
726,1,1,3,0,0
727,1,0,1,0,1
728,1,1,0,0,0
729,0,1,3,0,3
730,0,2,1,5,18
731,1,2,0,0,0
732,1,1,0,0,0
733,0,1,0,0,5
734,0,1,0,0,6
735,0,1,3,0,2
736,0,1,0,0,4
737,0,1,0,0,2
738,0,1,0,0,1
739,0,1,3,1,1
740,0,1,2,0,0
741,0,2,0,0,8
742,0,1,1,0,0
743,0,2,1,0,0
744,0,1,0,1,4
745,1,1,0,4,4
746,0,1,1,2,1
747,0,1,1,0,2
748,0,1,1,0,0
749,0,2,0,0,11
750,0,2,1,1,0
751,0,1,3,0,0
752,1,1,0,0,3
753,0,1,1,1,0
754,0,1,0,0,1
755,0,1,1,0,2
756,0,1,0,0,0
757,0,1,0,0,22
758,1,1,3,4,0
759,0,3,0,5,0
760,0,1,3,1,0
761,0,1,1,0,2
762,0,2,1,0,2
763,0,0,1,0,0
764,1,1,0,1,1
765,0,3,2,1,0
766,0,1,1,0,2
767,0,1,0,0,3
768,1,1,0,0,0
769,0,1,0,1,0
770,0,1,3,0,3
771,1,0,1,0,1
772,0,1,0,0,1
773,0,1,2,0,11
774,1,1,1,0,1
775,0,1,0,0,7
776,0,1,0,0,0
777,0,1,1,0,8
778,0,2,0,1,7
779,0,1,0,0,14
780,0,1,0,0,0
781,1,1,1,0,1
782,0,1,0,0,5
783,0,1,0,0,16
784,0,1,1,0,1
785,1,1,3,1,0
786,0,2,1,0,2
787,0,1,0,0,3
788,1,1,0,0,1
789,0,1,1,0,2
790,0,1,0,0,13
791,0,1,3,1,0
792,0,1,3,0,0
793,0,2,0,0,20
794,0,1,0,0,3
795,0,2,0,0,25
796,0,1,0,0,1
797,0,2,0,0,9
798,0,1,1,0,5
799,0,3,0,0,4
800,0,1,0,0,4
801,0,2,1,0,4
802,0,1,0,0,1
803,0,1,0,0,2
804,1,1,0,0,0
805,0,1,0,0,6
806,0,2,3,1,3
807,0,2,1,0,0
808,0,0,0,0,1
809,0,1,1,0,4
810,1,1,1,1,1
811,0,1,0,0,1
812,0,1,0,0,1
813,0,1,1,0,3
814,0,1,0,0,4
815,0,2,1,0,1
816,0,1,0,0,5
817,0,1,1,0,0
818,0,2,1,2,0
819,1,1,2,0,1
820,0,1,0,0,7
821,1,1,1,0,0
822,0,1,0,4,1
823,0,1,0,0,1
824,0,1,0,5,9
825,0,1,0,0,5
826,1,1,1,0,1
827,0,1,0,1,0
828,0,1,0,0,25
829,0,1,0,0,0
830,0,1,0,0,13
831,0,2,0,0,5
832,1,1,0,0,4
833,0,1,1,0,0
834,1,2,0,5,0
835,0,1,0,0,3
836,1,1,0,0,1
837,0,1,1,0,1
838,0,2,1,0,3
839,0,1,0,0,6
840,0,1,3,0,4
841,0,1,0,0,1
842,1,1,1,5,4
843,0,2,1,0,1
844,0,1,3,0,25
845,0,1,0,0,1
846,0,1,2,0,3
847,0,2,0,0,3
848,0,0,1,0,1
849,0,1,0,1,4
850,1,1,1,0,1
851,1,1,0,1,1
852,0,2,2,1,0
853,0,1,0,0,9
854,0,1,1,0,0
855,0,2,1,4,1
856,0,1,2,0,1
857,1,2,2,0,1
858,0,1,0,0,3
859,0,1,0,1,3
860,0,1,0,0,5
861,0,2,2,1,0
862,1,2,1,0,0
863,0,1,0,0,0
864,1,1,1,0,3
865,1,2,1,0,0
866,0,1,1,0,0
867,0,1,2,0,1
868,0,1,2,0,1
869,0,1,0,0,6
870,0,1,0,0,1
871,0,2,0,0,2
872,0,1,0,0,0
873,0,2,1,0,1
874,0,1,0,0,4
875,1,2,1,0,1
876,0,2,0,0,3
877,0,1,0,0,2
878,0,1,0,0,19
879,0,3,0,0,3
880,0,1,1,0,2
881,0,2,0,1,0
882,0,1,0,0,5
883,0,1,0,0,10
884,0,1,0,0,1
885,1,3,2,5,0
886,0,2,2,2,0
887,0,2,2,1,1
888,1,1,1,0,1
889,1,1,2,0,0
890,0,2,1,0,4
891,0,1,0,0,14
892,0,1,0,0,2
893,0,2,2,1,0
894,0,1,1,0,1
895,0,1,0,0,1
896,0,1,0,0,2
897,0,1,0,0,6
898,1,1,1,0,0
899,0,0,1,0,0
900,0,1,0,0,1
901,0,2,0,1,0
902,0,1,0,0,7
903,0,1,1,1,2
904,0,2,1,0,5
905,0,1,1,0,0
906,1,1,1,0,0
907,0,2,0,5,0
908,0,1,0,0,10
909,0,1,1,0,0
910,1,1,2,0,0
911,0,1,0,0,2
912,0,1,2,0,1
913,0,1,0,0,5
914,1,1,2,0,2
915,0,1,0,0,10
916,0,2,0,0,4
917,0,1,1,0,2
918,0,1,1,5,2
919,0,1,0,0,0
920,1,0,0,0,0
921,0,2,2,0,0
922,0,2,0,4,6
923,0,1,0,0,0
924,1,1,0,0,6
925,0,1,0,0,1
926,0,1,1,0,8
927,0,1,0,0,1
928,0,1,2,0,0
929,0,1,0,4,5
930,0,1,0,1,4
931,1,1,0,0,3
932,0,1,0,0,2
933,0,1,1,0,8
934,0,2,1,1,1
935,0,1,0,0,6
936,0,2,1,0,0
937,0,1,0,0,0
938,1,1,1,0,4
939,1,1,0,0,0
940,0,2,2,0,2
941,0,1,0,0,0
942,0,2,0,5,2
943,0,1,0,0,6
944,0,2,0,1,17
945,0,2,2,0,20
946,0,1,0,1,3
947,0,1,1,0,2
948,0,1,0,0,2
949,0,1,0,1,5
950,1,1,0,1,8
951,0,3,2,1,0
952,0,1,2,0,1
953,0,2,2,1,1
954,0,1,0,0,1
955,0,1,0,0,2
956,0,1,2,0,1
957,0,1,0,0,1
958,0,2,1,5,6
959,0,1,0,0,2
960,0,1,0,5,0
961,0,1,0,0,11
962,0,1,0,6,1
963,0,1,0,0,6
964,0,0,0,0,1
965,0,2,1,0,1
966,0,2,2,1,0
967,0,2,2,5,0
968,0,1,2,0,1
969,1,2,0,1,0
970,1,1,0,0,3
971,0,1,1,1,3
972,0,2,2,0,1
973,0,1,2,0,0
974,1,3,0,0,5
975,0,1,0,0,16
976,0,2,0,0,8
977,0,1,3,0,0
978,1,1,0,0,5
979,0,2,1,0,0
980,0,1,0,4,1
981,0,1,0,4,1
982,0,1,0,0,3
983,0,2,0,0,13
984,0,2,0,0,2
985,0,1,1,1,1
986,0,2,1,0,5
987,0,1,3,0,1
988,0,2,1,1,2
989,0,1,0,0,1
990,0,2,0,0,0
991,1,2,1,5,0
992,1,1,0,0,0
993,0,2,0,0,17
994,0,1,0,0,1
995,0,1,0,0,0
996,1,1,1,0,0
997,0,1,1,0,2
998,0,1,0,0,2
999,0,1,0,0,4
1000,0,1,2,0,0
1001,1,1,0,0,0
1002,1,1,0,0,4
1003,1,2,1,5,30
1004,0,2,0,1,4
1005,0,1,0,0,2
1006,1,1,1,1,0
1007,0,1,3,2,0
1008,0,2,1,1,0
1009,0,2,0,0,2
1010,0,2,0,4,19
1011,0,1,0,0,5
1012,0,1,0,0,0
1013,0,1,0,0,0
1014,1,1,0,0,1
1015,0,1,0,0,2
1016,1,2,1,0,4
1017,0,2,1,0,1
1018,0,1,0,0,8
1019,0,2,1,0,3
1020,0,1,0,1,1
1021,0,2,0,0,10
1022,0,1,2,5,0
1023,0,2,1,1,2
1024,0,1,1,4,1
1025,0,1,1,0,0
1026,0,2,2,2,2
1027,1,1,0,0,1
1028,0,2,2,1,0
1029,0,2,1,0,0
1030,0,2,0,1,1
1031,0,2,1,1,2
1032,0,1,1,0,6
1033,0,1,0,0,1
1034,0,1,2,0,0
1035,0,1,0,4,0
1036,1,2,2,0,0
1037,0,1,0,0,9
1038,1,1,2,1,1
1039,0,1,1,0,2
1040,0,1,0,0,1
1041,1,3,1,5,2
1042,0,0,1,0,0
1043,0,1,0,1,18
1044,1,1,1,0,5
1045,0,1,0,0,1
1046,1,0,0,0,0
1047,0,1,1,0,7
1048,0,1,0,1,1
1049,1,2,1,2,1
1050,0,3,0,2,3
1051,0,2,0,0,7
1052,0,1,1,0,3
1053,1,1,0,0,4
1054,1,1,1,0,2
1055,0,1,2,4,0
1056,1,1,0,0,3
1057,0,1,0,0,4
1058,0,2,1,0,3
1059,0,1,1,0,4
1060,0,2,1,0,1
1061,1,1,2,0,10
1062,0,1,3,0,1
1063,1,1,1,0,1
1064,0,1,0,0,0
1065,0,1,0,0,3
1066,0,1,0,0,16
1067,1,2,1,0,0
1068,0,1,0,0,10
1069,0,1,0,0,4
1070,0,1,0,0,0
1071,0,1,0,0,12
1072,0,1,1,0,0
1073,1,1,1,4,0
1074,0,1,1,0,1
1075,0,2,0,0,9
1076,0,1,1,0,11
1077,0,1,0,0,5
1078,0,1,0,0,11
1079,0,3,0,5,1
1080,0,2,1,0,1
1081,1,1,2,0,0
1082,1,2,0,0,1
1083,0,1,0,4,1
1084,0,2,0,0,5
1085,0,2,1,3,1
1086,1,2,1,0,6
1087,1,2,1,0,0
1088,0,1,1,1,0
1089,1,1,0,0,0
1090,1,1,0,0,14
1091,0,1,0,0,5
1092,0,0,3,0,0
1093,0,1,1,0,1
1094,0,1,1,0,3
1095,1,3,1,0,0
1096,0,1,1,0,0
1097,1,2,1,0,0
1098,0,1,1,0,0
1099,1,1,0,0,0
1100,1,2,1,1,1
1101,0,1,1,0,0
1102,0,1,1,0,4
1103,1,1,1,0,0
1104,0,1,0,0,1
1105,0,2,0,0,0
1106,0,1,0,0,2
1107,0,0,2,0,0
1108,0,1,1,0,1
1109,0,1,0,0,0
1110,1,1,0,0,3
1111,1,1,0,0,2
1112,0,1,1,0,3
1113,0,1,2,0,0
1114,0,2,0,0,9
1115,0,1,0,0,0
1116,0,0,2,0,2
1117,0,1,0,0,9
1118,0,2,0,1,3
1119,1,1,2,0,0
1120,0,1,0,0,0
1121,1,1,0,0,3
1122,0,1,0,0,4
1123,0,2,0,1,4
1124,1,1,0,4,0
1125,0,1,1,0,0
1126,0,1,0,5,1
1127,0,1,0,0,4
1128,1,1,1,0,2
1129,0,1,3,0,1
1130,0,1,2,1,0
1131,0,2,3,0,0
1132,1,1,1,0,11
1133,1,1,0,1,6
1134,0,1,3,0,5
1135,0,2,0,0,3
1136,1,1,1,0,3
1137,0,1,1,0,2
1138,0,1,2,1,0
1139,0,2,1,0,2
1140,0,1,0,0,5
1141,1,1,1,0,0
1142,0,0,0,0,0
1143,1,1,0,0,2
1144,0,1,3,0,0
1145,0,1,1,0,0
1146,1,2,1,0,12
1147,1,1,1,1,1
1148,0,2,1,1,8
1149,1,1,0,0,1
