,sexC,ageC,raceC,MC,priors_count_C,label,predication
2560,0,2,0,0,13,0,1
3722,0,1,0,1,0,1,0
1326,0,2,1,1,2,1,0
840,0,1,3,0,4,1,0
1819,1,2,0,0,21,1,0
5655,0,1,0,0,1,1,0
5958,0,2,2,0,0,0,1
2623,1,1,2,0,20,1,0
3732,0,2,2,1,18,0,1
5760,0,1,2,0,4,1,0
3274,0,2,0,0,10,0,1
6620,0,1,0,0,0,1,0
2696,0,1,0,0,5,0,1
166,0,1,0,5,6,1,0
5493,0,2,0,0,7,0,1
1790,0,1,1,0,0,1,0
33,0,1,1,0,6,0,1
2247,0,1,1,1,1,1,0
900,0,1,0,0,1,1,0
4278,0,1,0,0,0,1,0
1814,0,1,1,4,5,1,0
1558,1,1,0,0,2,1,0
4032,0,1,1,0,0,1,0
1683,0,1,1,0,2,1,0
1615,1,1,1,0,1,1,0
4643,0,1,1,0,0,1,0
2951,0,1,1,0,17,0,1
4300,1,1,3,0,0,1,0
2048,0,1,0,0,1,1,0
6575,0,3,3,3,0,0,1
4376,0,2,0,0,8,0,1
285,0,1,0,0,2,0,1
5242,0,3,1,0,8,1,0
1132,1,1,1,0,11,1,0
1169,0,0,0,0,0,0,1
1499,0,1,0,0,5,0,1
1807,0,1,0,0,0,1,0
3703,0,1,1,0,1,1,0
6838,0,1,0,0,4,0,1
2407,0,2,0,1,6,1,0
6844,0,1,1,0,0,1,0
1197,0,2,1,4,3,1,0
2685,0,2,3,1,4,1,0
4283,0,1,1,0,1,1,0
1162,0,1,0,0,0,1,0
3316,0,1,0,1,0,1,0
2600,0,1,0,0,5,0,1
6152,0,1,2,0,0,1,0
383,0,1,0,0,0,1,0
2198,0,1,0,0,3,0,1
1735,1,2,2,0,2,0,1
5239,0,2,1,3,5,0,1
2565,0,1,1,0,0,1,0
5664,0,1,1,4,2,1,0
4290,1,1,0,6,1,0,1
4537,0,1,1,1,1,1,0
6059,0,1,0,0,0,1,0
3144,0,2,0,5,8,1,0
2860,0,1,0,0,9,0,1
5368,0,1,0,0,0,1,0
4789,0,2,0,0,0,1,0
2684,1,1,0,0,2,1,0
6069,1,1,0,1,0,1,0
4446,0,2,1,0,2,1,0
3258,1,1,0,0,10,0,1
899,0,0,1,0,0,0,1
2917,0,1,1,0,10,0,1
730,0,2,1,5,18,1,0
2610,1,1,1,0,1,1,0
6793,0,2,0,0,5,0,1
5688,0,1,0,0,5,0,1
955,0,1,0,0,2,0,1
67,0,1,1,0,1,1,0
103,0,1,0,4,5,1,0
5794,0,1,1,0,0,1,0
4152,0,1,0,0,1,1,0
2949,0,2,0,0,10,0,1
5372,0,1,0,0,3,0,1
179,1,2,3,1,0,1,0
3210,0,1,0,0,0,1,0
6203,0,1,1,0,2,1,0
2550,0,1,1,4,0,1,0
4307,0,1,2,0,0,1,0
4141,0,1,1,5,1,1,0
3589,1,1,1,0,0,1,0
5875,0,2,3,0,8,1,0
1242,0,1,0,6,5,1,0
3708,0,1,0,0,1,1,0
4694,0,1,0,0,0,1,0
1993,0,2,0,0,4,0,1
6498,1,1,0,0,1,1,0
5283,0,1,3,0,0,1,0
2544,0,1,0,0,6,0,1
2584,0,2,1,0,7,1,0
5882,0,1,3,0,0,1,0
1041,1,3,1,5,2,1,0
3318,0,1,3,0,8,0,1
5993,0,1,0,0,3,0,1
6651,1,1,1,0,2,1,0
1676,0,1,0,0,0,1,0
4586,0,1,0,0,0,1,0
4513,0,2,1,0,6,1,0
214,0,1,3,0,4,1,0
4081,0,2,1,0,1,1,0
2577,0,2,1,0,6,1,0
3178,0,1,2,0,0,1,0
2707,0,1,0,0,22,0,1
642,0,2,3,0,0,0,1
6477,0,1,0,0,1,1,0
538,0,1,1,0,2,1,0
4924,0,2,0,5,3,1,0
4869,1,1,0,0,2,1,0
4371,1,1,1,0,2,1,0
2755,0,1,0,0,6,0,1
6244,0,2,1,5,5,1,0
1131,0,2,3,0,0,0,1
3922,0,1,1,0,3,0,1
1897,0,2,1,4,1,1,0
910,1,1,2,0,0,1,0
5486,0,1,0,0,2,0,1
5673,1,1,0,0,1,1,0
68,0,1,0,0,2,0,1
2441,0,2,1,0,2,1,0
799,0,3,0,0,4,1,0
2998,0,3,1,0,0,1,0
5205,0,1,0,0,6,0,1
1014,1,1,0,0,1,1,0
2654,0,1,1,0,2,1,0
2355,0,1,0,1,15,0,1
3888,0,2,1,0,3,0,1
3924,0,1,0,0,1,1,0
181,0,1,1,0,0,1,0
1185,0,1,1,0,4,0,1
4841,1,1,0,0,0,1,0
2646,0,1,3,0,0,1,0
2990,0,1,1,0,2,1,0
6625,0,1,0,0,4,0,1
1651,0,2,0,6,0,1,0
1328,0,2,3,1,4,1,0
4995,0,2,1,0,21,1,0
6229,0,2,1,1,0,1,0
4900,0,1,0,0,7,0,1
2878,0,1,0,0,0,1,0
1135,0,2,0,0,3,0,1
1422,0,1,2,0,0,1,0
1950,0,1,0,0,6,0,1
4106,1,2,0,3,6,0,1
4437,0,1,0,1,10,1,0
800,0,1,0,0,4,0,1
2256,0,1,2,0,2,0,1
4086,0,1,0,0,1,1,0
5956,0,2,0,3,17,0,1
2506,0,1,0,0,0,1,0
1954,1,1,0,1,7,0,1
3906,1,2,1,0,0,1,0
2445,0,1,1,0,0,1,0
259,0,3,0,5,8,1,0
5185,0,1,2,0,1,1,0
457,0,2,1,0,3,0,1
6464,0,2,3,0,0,0,1
5246,1,1,0,1,3,0,1
1584,0,1,0,0,0,1,0
4462,0,2,2,0,8,0,1
4319,1,1,0,0,0,1,0
3472,1,2,2,1,4,1,0
3886,1,1,1,0,3,1,0
3315,0,1,1,0,9,0,1
4167,0,1,1,0,2,1,0
2866,0,1,1,1,9,1,0
1990,1,1,0,0,0,1,0
496,0,2,1,5,1,1,0
126,0,2,1,1,2,1,0
5816,0,1,0,0,4,0,1
1586,0,1,0,0,6,0,1
5376,0,1,3,0,0,1,0
506,0,1,1,0,1,1,0
1637,0,1,0,0,0,1,0
5228,0,1,0,0,2,0,1
3128,0,1,1,0,1,1,0
820,0,1,0,0,7,0,1
4414,0,1,1,0,2,1,0
1918,1,1,0,5,4,0,1
6153,0,1,1,4,1,1,0
1504,1,1,2,0,2,0,1
4868,0,1,0,4,0,1,0
1768,0,2,0,0,4,0,1
4291,0,1,1,0,11,0,1
1224,0,1,1,1,1,1,0
5975,0,1,2,0,1,1,0
3770,0,1,0,0,6,0,1
5109,0,1,0,0,0,1,0
644,1,2,1,0,2,0,1
5201,1,1,1,0,6,0,1
2699,0,1,0,0,1,1,0
4071,1,1,0,0,5,0,1
1470,0,1,2,1,2,0,1
4030,0,1,0,0,1,1,0
4306,0,1,0,0,2,0,1
2868,0,2,0,1,0,1,0
5781,0,1,1,0,3,0,1
6662,0,1,0,0,0,1,0
5245,0,2,3,1,6,1,0
2567,0,1,0,0,10,0,1
4147,0,2,0,0,0,1,0
5860,0,1,0,4,3,1,0
1190,1,2,1,0,0,1,0
4029,0,1,0,0,4,0,1
4192,1,1,1,0,4,0,1
6758,1,2,1,0,7,1,0
3576,0,1,0,0,5,0,1
3275,0,1,2,0,1,1,0
5140,0,1,0,0,3,0,1
6725,0,1,0,6,0,1,0
1416,0,2,1,5,14,1,0
6770,0,2,3,1,0,1,0
1072,0,1,1,0,0,1,0
5474,0,3,1,0,1,1,0
997,0,1,1,0,2,1,0
3132,0,1,0,0,0,1,0
6048,1,1,1,0,3,1,0
6524,0,1,1,0,2,1,0
705,0,2,0,0,11,0,1
3731,0,1,0,0,6,0,1
217,1,1,0,0,2,1,0
3169,1,1,0,0,2,1,0
1447,1,1,0,0,0,1,0
4339,0,1,1,0,1,1,0
3488,1,1,1,1,1,0,1
1576,0,1,2,0,5,0,1
3291,0,2,1,1,0,1,0
1147,1,1,1,1,1,0,1
1825,0,1,0,0,3,0,1
1412,1,1,1,0,5,0,1
3218,0,1,0,1,1,0,1
4324,0,1,1,0,1,1,0
1953,0,2,3,0,2,1,0
1247,0,2,1,0,12,0,1
4267,0,2,2,1,13,0,1
4958,0,1,0,0,4,0,1
5229,1,1,1,0,1,1,0
756,0,1,0,0,0,1,0
5989,0,1,0,0,9,0,1
2827,0,1,0,0,8,0,1
2126,0,2,0,0,1,1,0
3191,0,1,0,6,5,1,0
4876,0,1,0,6,1,1,0
6788,1,1,0,0,2,1,0
5079,0,1,0,0,4,0,1
684,0,1,1,0,1,1,0
4431,0,1,0,0,2,0,1
389,0,1,0,0,3,0,1
2150,0,1,0,5,3,1,0
22,0,1,2,0,1,1,0
5705,0,1,0,0,2,0,1
6137,0,2,3,1,0,1,0
6437,0,1,1,0,0,1,0
689,0,3,1,3,0,0,1
5055,0,1,1,1,3,1,0
6322,0,1,0,0,2,0,1
4907,1,2,1,0,0,1,0
1399,0,2,1,1,0,1,0
6635,0,1,1,0,6,0,1
3768,0,1,1,0,8,0,1
3391,1,1,0,0,0,1,0
4737,0,2,1,1,8,0,1
359,1,2,1,1,1,1,0
2893,0,1,1,0,0,1,0
6064,0,1,0,0,2,0,1
1862,0,1,0,0,2,0,1
1746,0,3,1,0,2,1,0
5277,0,3,2,1,0,1,0
4834,0,1,2,0,0,1,0
6863,0,2,1,5,14,1,0
6454,0,1,0,0,4,0,1
5906,0,2,0,0,28,0,1
4516,0,1,0,0,3,0,1
3593,0,2,0,0,3,0,1
239,0,1,1,0,4,0,1
3831,0,1,0,6,0,1,0
870,0,1,0,0,1,1,0
2363,0,1,1,0,1,1,0
3068,0,2,2,0,3,0,1
221,0,2,0,3,0,0,1
1540,0,2,0,0,6,0,1
5579,0,1,1,0,1,1,0
3948,0,1,0,0,1,1,0
1298,0,1,0,0,1,1,0
3335,0,1,0,0,8,0,1
792,0,1,3,0,0,1,0
1915,0,1,1,0,1,1,0
5611,0,1,0,0,1,1,0
2326,0,1,0,0,1,1,0
4354,1,2,3,5,6,1,0
5991,0,2,3,2,3,0,1
3769,1,1,0,0,4,0,1
5174,0,1,0,0,1,1,0
1785,0,1,1,0,3,0,1
4925,1,1,1,0,0,1,0
5854,0,0,1,0,4,0,1
6735,0,1,0,0,1,1,0
946,0,1,0,1,3,1,0
4815,0,2,1,4,2,1,0
2472,0,1,0,0,1,1,0
3041,1,3,1,5,1,1,0
3611,0,2,0,0,19,0,1
5122,0,1,1,0,3,0,1
5693,0,1,1,0,8,0,1
3344,1,1,0,0,0,1,0
3317,0,1,0,0,4,0,1
2106,0,2,1,0,3,0,1
4282,0,1,3,1,0,1,0
3762,0,1,1,0,6,0,1
763,0,0,1,0,0,0,1
4250,0,0,0,0,0,0,1
5311,0,1,1,0,15,0,1
4026,1,1,2,0,2,0,1
3779,0,1,0,0,3,0,1
2253,1,1,2,2,0,1,0
6478,1,1,0,0,0,1,0
1357,0,2,1,5,1,1,0
2498,0,1,1,0,2,1,0
4576,0,1,2,0,2,0,1
1228,0,1,1,0,2,1,0
5721,1,1,3,0,0,1,0
6288,0,1,0,0,0,1,0
2090,1,1,2,2,0,1,0
1998,0,2,0,0,1,1,0
5319,0,1,0,0,8,0,1
4206,0,1,1,0,3,0,1
1394,0,2,2,0,3,0,1
3443,0,1,0,0,1,1,0
6593,1,1,0,0,0,1,0
5669,0,2,1,0,5,1,0
3321,0,1,1,0,0,1,0
192,0,1,3,4,5,1,0
2140,1,1,0,0,7,0,1
3012,0,3,2,5,2,0,1
6751,0,1,1,2,1,1,0
4879,0,1,0,1,3,1,0
4856,0,1,0,4,8,0,1
6378,0,1,1,0,4,0,1
6128,0,2,1,5,21,1,0
4221,0,1,1,0,2,1,0
3260,1,1,1,0,2,1,0
5744,0,1,2,0,4,1,0
3862,0,1,0,0,6,0,1
783,0,1,0,0,16,0,1
3042,1,1,0,0,0,1,0
5729,0,1,3,1,2,1,0
3456,0,2,0,0,7,0,1
280,0,1,1,0,5,0,1
1463,1,1,0,0,2,1,0
1669,0,1,0,0,3,0,1
5467,1,1,1,0,0,1,0
3861,0,1,0,2,6,1,0
6761,1,1,0,0,0,1,0
2874,0,1,1,0,0,1,0
2940,0,1,1,0,0,1,0
1893,0,1,1,0,1,1,0
3019,0,1,0,4,2,1,0
1396,0,1,0,0,4,0,1
2855,1,1,0,0,3,0,1
931,1,1,0,0,3,0,1
4530,1,1,0,0,2,1,0
5323,0,1,0,0,0,1,0
1238,0,1,0,1,1,0,1
4021,0,1,0,1,4,0,1
5529,0,1,0,4,2,1,0
1386,0,3,1,5,3,1,0
3249,0,1,3,0,1,1,0
2275,0,1,0,0,1,1,0
5021,0,2,1,1,0,1,0
5069,1,2,0,0,16,0,1
6175,0,1,2,0,13,0,1
854,0,1,1,0,0,1,0
5179,1,1,0,0,11,1,0
6147,0,2,0,1,20,0,1
5364,0,2,1,1,0,1,0
3085,0,2,0,0,1,1,0
804,1,1,0,0,0,1,0
3163,0,1,0,0,1,1,0
6681,0,0,0,0,0,0,1
6334,0,2,1,5,18,1,0
5750,0,1,3,0,1,1,0
3813,0,1,0,0,4,0,1
507,0,1,1,0,0,1,0
667,0,1,0,0,2,0,1
5838,0,1,0,0,1,1,0
5395,1,1,2,0,2,0,1
3186,0,1,2,0,7,0,1
2919,0,1,0,0,5,0,1
3993,0,1,0,0,3,0,1
6650,1,1,0,0,0,1,0
5801,0,1,1,0,1,1,0
2575,0,2,0,0,0,1,0
5040,0,2,0,0,5,0,1
2423,0,1,0,0,1,1,0
5613,0,1,0,0,2,0,1
4097,0,1,0,0,1,1,0
3231,0,1,3,0,0,1,0
6235,0,1,0,0,1,1,0
1783,0,2,3,1,1,1,0
1734,0,1,0,1,5,0,1
5249,0,1,1,0,4,0,1
6712,0,2,0,0,23,0,1
5593,0,1,1,0,1,1,0
1081,1,1,2,0,0,1,0
850,1,1,1,0,1,1,0
524,0,2,0,0,8,0,1
4364,1,1,0,0,0,1,0
2589,1,1,0,0,3,0,1
5456,0,1,2,0,9,0,1
6480,0,1,3,0,5,0,1
6110,0,1,0,0,4,0,1
4113,1,1,0,0,2,1,0
3407,0,1,0,0,28,1,0
1297,0,1,1,4,0,1,0
2362,0,1,0,0,1,1,0
6803,0,2,2,5,3,1,0
6392,0,1,0,0,0,1,0
976,0,2,0,0,8,0,1
3512,0,2,0,0,9,0,1
639,0,1,3,0,4,1,0
3411,0,2,0,0,4,0,1
288,0,1,1,0,1,1,0
3271,0,1,0,0,0,1,0
6699,0,1,0,0,1,1,0
847,0,2,0,0,3,0,1
4434,0,1,3,1,4,1,0
2246,0,1,1,0,0,1,0
4864,0,1,1,4,2,1,0
2364,0,2,0,0,3,0,1
6795,0,1,0,0,1,1,0
5702,0,1,0,0,2,0,1
4447,0,1,0,1,0,1,0
3743,0,1,1,0,0,1,0
3925,0,1,0,0,5,0,1
321,1,1,0,0,0,1,0
3897,0,1,0,0,1,1,0
6491,0,1,1,0,0,1,0
5909,0,1,0,0,1,1,0
2040,0,2,0,2,21,1,0
4429,0,1,0,0,8,0,1
2398,0,2,0,0,2,1,0
1566,0,1,1,0,0,1,0
3745,0,2,1,0,3,0,1
1833,0,1,0,0,18,0,1
2255,0,2,1,1,1,1,0
686,0,1,1,0,0,1,0
3656,0,1,1,0,0,1,0
2764,0,2,1,0,3,0,1
4972,1,2,0,0,8,1,0
6143,1,1,0,0,2,1,0
5903,0,1,1,0,3,0,1
4848,0,1,1,0,2,1,0
2031,1,1,0,0,5,0,1
4078,1,1,1,1,11,1,0
1019,0,2,1,0,3,0,1
4788,0,1,0,0,4,0,1
3626,0,1,1,0,1,1,0
2165,0,2,1,4,0,1,0
5219,0,1,1,1,10,1,0
54,0,2,1,0,8,0,1
344,1,1,0,0,0,1,0
6830,0,1,0,0,2,0,1
6342,0,1,1,4,2,1,0
1351,0,2,0,1,0,1,0
3234,1,1,0,0,0,1,0
6373,0,1,1,1,3,1,0
717,0,1,0,0,10,0,1
6267,1,1,0,0,2,1,0
2856,0,1,1,0,3,0,1
5809,1,1,1,4,0,0,1
4850,0,1,0,1,3,1,0
1456,0,1,2,1,1,1,0
4598,0,2,1,5,0,1,0
244,0,1,2,0,1,1,0
959,0,1,0,0,2,0,1
3938,1,1,1,0,0,1,0
5703,0,1,3,1,0,1,0
434,1,2,0,0,16,0,1
6024,1,1,0,0,7,0,1
3643,0,1,1,0,2,1,0
1751,0,2,1,0,9,0,1
1573,0,1,0,0,11,0,1
2689,0,1,3,0,2,1,0
711,0,1,0,0,0,1,0
3438,0,2,0,1,13,0,1
3826,0,1,0,0,7,0,1
3675,0,1,1,0,2,1,0
4461,0,1,0,0,1,1,0
6418,0,2,1,5,3,1,0
5448,0,1,0,0,0,1,0
2675,0,2,0,0,9,0,1
123,0,1,1,0,0,1,0
3281,0,1,0,0,1,1,0
2010,0,1,0,0,9,0,1
5644,0,0,2,0,0,0,1
5681,0,2,1,5,2,1,0
3920,0,1,1,0,14,0,1
2745,0,1,1,0,1,1,0
2023,0,2,1,0,1,1,0
275,0,2,1,0,6,1,0
40,0,1,1,1,2,1,0
796,0,1,0,0,1,1,0
4181,0,1,1,0,1,1,0
5049,0,1,1,0,6,0,1
5676,0,1,1,1,2,1,0
610,1,2,1,0,0,1,0
6641,0,1,1,0,2,1,0
1596,0,1,0,1,24,0,1
5895,0,1,0,0,1,1,0
2695,0,1,0,0,2,0,1
2489,0,1,0,0,7,0,1
2918,0,1,1,0,2,1,0
5243,1,1,1,0,3,1,0
1240,0,2,1,0,4,0,1
4793,0,2,1,5,1,1,0
5267,0,1,1,0,4,0,1
6192,0,1,0,0,9,0,1
2894,0,1,0,0,2,0,1
5404,0,1,1,0,2,1,0
2736,0,1,1,2,1,1,0
3216,0,1,1,0,0,1,0
6508,0,1,1,0,3,0,1
5482,0,2,1,5,13,1,0
5871,1,1,1,0,2,1,0
6134,0,1,0,0,4,0,1
2105,0,1,0,0,1,1,0
5954,1,1,1,0,1,1,0
5053,0,1,0,0,2,0,1
646,0,1,0,1,0,1,0
6140,0,1,0,0,8,0,1
1650,0,1,0,0,8,0,1
2652,0,1,2,0,0,1,0
4762,0,1,0,0,6,0,1
518,0,2,2,0,2,1,0
6452,0,2,0,5,7,1,0
3659,0,1,2,0,3,0,1
4682,0,2,1,1,2,1,0
4945,0,1,0,0,0,1,0
1796,0,1,0,0,2,0,1
5859,0,1,1,0,3,0,1
5061,0,2,0,0,0,1,0
5753,1,2,1,2,17,0,1
5707,0,0,3,1,0,0,1
6606,0,1,1,1,8,1,0
5749,0,1,1,0,0,1,0
484,1,1,0,0,12,0,1
6295,0,1,0,0,7,0,1
1370,0,1,0,6,8,1,0
3832,0,2,0,0,1,1,0
3683,0,2,0,0,0,1,0
3500,0,1,1,1,9,1,0
5492,0,1,1,6,3,0,1
1055,0,1,2,4,0,1,0
1248,0,1,0,0,0,1,0
5165,1,1,3,2,1,0,1
4511,0,1,0,0,1,1,0
4521,0,1,1,0,3,0,1
6303,0,2,0,0,5,0,1
1045,0,1,0,0,1,1,0
4405,0,2,1,0,3,0,1
2336,0,1,0,0,1,1,0
12,1,2,1,0,1,1,0
5773,0,1,1,0,3,0,1
3963,0,2,0,0,0,1,0
5924,0,1,0,0,0,1,0
5845,1,1,0,2,0,1,0
1963,0,1,0,0,1,1,0
4886,1,1,0,1,4,0,1
1764,0,1,0,1,0,1,0
6577,0,1,3,0,1,1,0
1134,0,1,3,0,5,0,1
6231,0,1,0,0,10,0,1
2733,0,1,0,0,2,0,1
5348,0,1,0,1,5,0,1
6265,0,1,0,0,0,1,0
4477,0,1,1,0,0,1,0
4380,0,1,0,0,0,1,0
3140,0,1,1,0,0,1,0
3160,0,1,0,2,0,1,0
1966,0,2,1,5,2,1,0
5389,0,2,1,0,3,0,1
3423,1,1,0,0,0,1,0
1951,0,1,0,0,0,1,0
3177,0,1,1,0,3,0,1
2032,0,1,0,0,2,0,1
1606,0,1,2,0,7,0,1
2902,0,2,1,0,0,1,0
230,0,1,0,0,4,0,1
3691,1,1,0,0,0,1,0
3652,0,2,1,0,3,0,1
4008,0,1,0,0,0,1,0
1926,0,1,0,0,0,1,0
