age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
24,2,247846,11,9,4,2,4,2,0,0,0,40,38,0
42,3,100793,10,16,2,9,0,4,1,0,0,41,38,1
57,2,244478,11,9,2,2,0,2,1,0,0,48,38,0
30,2,142921,7,12,4,9,1,4,0,0,0,40,38,0
36,2,182863,11,9,2,11,0,4,1,0,0,60,38,1
49,2,171128,5,4,2,6,0,2,1,0,0,40,38,0
33,2,145402,11,9,2,6,5,4,0,0,0,35,38,0
23,2,306309,0,6,2,4,0,4,1,0,0,40,38,0
46,2,83822,12,14,2,9,0,4,1,0,0,40,38,0
18,2,262118,15,10,4,0,3,1,0,0,0,22,10,0
40,2,155972,11,9,2,3,0,4,1,7688,0,55,38,1
43,3,214503,11,9,2,3,0,4,1,0,1887,45,38,1
34,2,159303,12,14,4,9,3,4,0,0,0,30,38,0
47,4,174995,11,9,6,3,1,4,0,0,0,30,38,0
44,2,26669,8,11,6,3,4,4,0,0,0,30,38,0
33,2,177727,11,9,2,11,0,4,1,0,0,40,38,1
55,2,124771,9,13,2,3,0,4,1,15024,0,50,38,1
19,2,456736,11,9,4,11,1,4,1,2907,0,30,38,0
28,2,216604,15,10,4,7,1,2,1,0,0,14,38,0
27,2,221561,1,7,2,7,5,2,0,0,0,32,38,0
50,2,114564,5,4,2,6,0,4,1,0,0,20,38,0
22,2,315476,1,7,4,2,4,4,1,0,0,40,38,0
40,5,67874,9,13,2,0,0,4,1,0,1887,45,38,1
25,2,126110,15,10,4,0,3,4,0,0,0,40,38,0
26,1,102264,11,9,4,2,1,4,1,0,0,40,38,0
22,2,537222,9,13,4,11,1,4,1,0,0,25,38,0
42,2,113732,15,10,4,5,4,2,0,0,625,40,38,0
38,3,93225,9,13,0,3,1,4,1,0,0,40,38,0
55,2,43064,1,7,2,7,0,4,1,0,0,30,38,0
32,2,136921,11,9,2,11,0,4,1,0,0,40,38,0
22,2,388885,11,9,2,2,0,4,1,0,0,45,38,0
29,2,142249,9,13,4,11,3,4,1,0,0,40,38,0
46,5,56841,12,14,2,3,0,4,1,0,0,45,38,1
31,2,156493,15,10,2,3,0,4,1,0,0,40,38,1
58,4,159021,10,16,2,9,0,4,1,0,0,16,38,1
42,2,190910,11,9,2,2,0,4,1,0,0,45,38,0
18,2,41879,11,9,4,5,4,4,1,0,0,25,38,0
58,1,137249,11,9,0,3,1,4,1,0,0,33,38,0
54,2,236157,11,9,2,9,0,4,1,0,1887,40,38,1
34,2,189759,12,14,4,9,1,4,1,0,0,40,38,0
26,2,239877,9,13,4,0,1,4,0,0,0,40,38,0
61,2,21175,2,8,2,3,0,4,1,0,0,60,38,0
48,1,67229,12,14,5,0,4,2,0,0,0,40,38,0
36,2,236391,15,10,2,3,0,4,1,0,0,45,38,1
24,2,325596,8,11,2,6,0,4,1,0,0,45,38,0
40,2,83411,15,10,2,6,0,4,1,0,0,37,38,0
33,3,154227,11,9,2,11,0,4,1,0,0,50,38,1
37,2,248010,15,10,2,6,0,4,1,0,1887,40,38,1
34,2,198613,12,14,4,3,3,4,1,4650,0,40,38,0
56,3,321529,15,10,2,3,0,4,1,15024,0,40,38,1
37,2,203079,9,13,6,3,1,4,0,0,0,55,38,0
44,2,284652,11,9,0,11,4,2,0,0,0,40,38,0
54,2,59840,11,9,0,5,1,4,1,0,0,45,38,0
23,2,52753,11,9,4,6,1,4,1,0,0,50,38,0
22,2,199266,11,9,4,7,1,4,0,0,0,45,38,0
33,2,196385,9,13,2,3,0,4,1,0,1977,40,38,1
39,2,163205,9,13,5,9,1,4,1,0,0,50,38,1
47,2,411047,15,10,0,0,1,2,0,0,0,37,38,0
26,2,209440,11,9,4,9,4,2,0,0,0,55,38,0
31,2,56964,15,10,0,3,4,4,0,0,0,40,38,0
44,2,299197,15,10,4,13,1,4,1,0,0,45,38,0
42,3,240628,14,15,2,9,5,4,0,0,0,50,38,1
19,2,355313,11,9,4,6,1,4,0,0,0,40,38,0
27,2,132267,11,9,2,5,0,4,1,0,0,40,38,1
51,1,174861,15,10,2,10,0,4,1,0,0,40,38,1
28,3,142443,9,13,2,3,0,4,1,0,0,50,38,0
57,2,26716,9,13,0,2,1,4,1,0,0,45,38,0
45,1,185588,9,13,0,9,4,4,0,0,0,40,38,0
50,2,175029,8,11,2,9,0,4,1,0,0,40,38,1
34,3,34848,9,13,2,11,0,4,1,0,0,54,38,0
45,2,411273,5,4,2,2,0,2,1,0,0,40,38,0
73,1,143437,11,9,2,3,0,4,1,0,0,20,38,0
34,2,357145,9,13,2,9,5,4,0,0,0,50,38,1
31,2,236861,15,10,2,11,0,4,1,0,0,55,38,1
19,2,53355,1,7,4,11,1,4,1,0,0,12,38,0
25,2,29106,15,10,4,7,3,4,0,0,0,50,38,0
38,0,213274,8,11,0,2,4,4,0,6497,0,40,38,0
39,2,22463,9,13,2,13,0,4,1,0,0,40,38,0
23,2,180497,9,13,4,12,3,2,0,0,0,32,38,0
49,2,37306,11,9,2,6,0,4,1,0,0,40,38,0
33,0,137814,11,9,4,7,1,4,1,0,0,32,38,0
21,2,447488,4,3,4,6,2,4,1,0,0,38,25,0
31,2,220915,8,11,5,2,1,4,1,0,0,40,38,0
23,2,42251,9,13,4,3,1,4,0,0,0,45,38,0
34,2,162312,9,13,2,0,0,1,1,0,0,40,29,0
25,2,77698,11,9,4,6,1,1,0,0,0,40,29,0
39,2,282951,11,9,4,2,4,4,1,0,0,40,38,0
52,3,311259,11,9,2,11,0,4,1,0,0,40,38,1
63,1,65479,6,5,2,13,0,4,1,7688,0,40,38,1
41,2,277256,15,10,2,2,0,4,1,0,0,40,38,0
46,2,312088,9,13,2,9,0,4,1,15024,0,38,38,1
53,1,169719,11,9,2,3,0,4,1,0,0,40,38,0
18,2,96869,2,8,4,8,3,4,1,0,0,40,38,0
38,2,237943,14,15,2,9,0,4,1,0,0,50,38,0
55,2,119751,12,14,4,3,4,1,0,0,0,50,36,0
34,2,236861,11,9,2,12,0,4,1,0,0,40,38,1
80,4,201092,11,9,2,7,0,4,1,0,0,30,38,0
34,2,147215,8,11,0,12,4,4,0,0,0,60,38,0
52,2,152373,15,10,2,12,0,4,1,5013,0,40,38,0
42,2,227968,11,9,4,7,4,2,0,0,0,28,13,0
26,2,362617,15,10,4,11,1,4,0,0,0,40,38,0
31,2,103435,11,9,2,13,0,4,1,0,0,40,38,0
25,1,281412,11,9,4,7,3,4,0,0,0,35,38,0
55,4,105239,11,9,2,2,0,4,1,0,2057,60,38,0
19,2,230165,15,10,4,7,3,4,0,0,0,12,38,0
62,4,177493,15,10,2,13,0,4,1,0,0,32,38,0
22,0,104443,15,10,4,0,3,4,0,0,0,20,38,0
35,2,143385,11,9,2,5,0,4,1,0,0,40,38,0
28,2,107189,11,9,2,11,3,4,0,0,0,40,38,0
47,2,212944,11,9,2,13,0,4,1,0,0,70,38,1
44,5,138634,11,9,2,6,0,4,1,0,0,40,38,0
21,2,99970,15,10,4,11,3,4,1,0,0,15,38,0
35,2,203717,8,11,4,2,1,4,1,0,0,50,38,0
24,2,313956,9,13,2,9,0,4,1,0,0,40,38,1
28,2,193868,9,13,4,12,3,4,1,0,0,50,38,0
21,2,250939,15,10,4,6,2,4,1,0,0,35,38,0
62,0,57629,15,10,0,12,1,2,1,4650,0,40,38,0
39,2,281768,11,9,4,7,1,2,0,0,0,40,38,0
30,5,260782,11,9,4,7,1,4,1,0,0,40,38,0
72,4,243769,14,15,4,9,1,4,1,0,1429,20,38,0
50,2,109937,15,10,2,3,5,4,0,0,0,50,38,0
28,1,134890,12,14,4,9,1,4,1,0,0,40,38,0
29,2,100293,15,10,4,9,1,4,0,0,0,40,38,0
26,2,132179,9,13,4,0,3,4,0,0,0,40,38,0
27,2,116372,12,14,4,3,1,4,0,0,0,40,38,0
29,2,255412,15,10,2,5,0,4,1,3103,0,40,38,1
29,2,342400,0,6,2,2,0,4,1,0,0,25,38,0
31,2,169085,1,7,2,11,5,4,0,0,0,20,38,0
25,2,177221,11,9,2,3,0,4,1,0,0,75,38,0
58,2,65325,0,6,2,13,0,4,1,0,0,40,38,1
64,2,118944,15,10,2,3,5,4,0,0,0,40,38,1
46,5,149337,12,14,4,3,1,4,1,0,0,38,38,0
19,2,106183,11,9,4,7,3,0,0,0,0,35,38,0
42,2,226388,11,9,0,7,1,2,1,0,0,52,38,0
18,2,220754,1,7,4,5,3,4,1,0,0,24,38,0
58,3,204021,9,13,2,2,0,4,1,15024,0,50,38,1
20,2,347391,15,10,4,10,1,2,1,0,0,60,38,0
35,0,413930,11,9,2,2,0,4,1,0,0,40,38,1
32,2,174201,11,9,2,5,0,4,1,0,0,38,38,1
23,2,145917,11,9,4,5,1,4,0,0,0,25,38,0
31,2,241797,15,10,0,12,4,4,0,0,0,40,38,0
33,2,265168,9,13,2,11,0,2,1,0,0,55,38,0
41,2,171234,15,10,4,6,1,4,0,0,0,48,38,0
22,2,178452,11,9,4,6,3,2,1,0,0,40,38,0
46,2,157857,15,10,2,10,0,4,1,0,0,40,38,1
61,0,512864,15,10,2,13,0,2,1,0,0,40,38,0
30,2,296462,11,9,4,3,1,2,1,0,0,40,38,0
42,2,171615,11,9,2,3,0,4,1,0,0,55,38,1
63,2,214071,0,6,2,5,0,4,1,0,0,40,38,0
26,2,172421,15,10,2,11,0,4,1,0,0,40,38,0
42,2,195488,0,6,0,0,4,4,0,0,0,40,38,0
23,2,316841,15,10,2,7,0,4,1,0,0,40,38,0
25,2,236267,11,9,4,6,4,4,1,0,1590,40,38,0
30,2,236543,6,5,2,7,0,4,1,0,0,32,7,1
23,2,318483,11,9,4,11,3,4,1,0,0,40,38,0
34,4,163756,8,11,4,4,1,4,1,27828,0,60,38,1
30,2,238186,11,9,2,6,2,4,1,0,2057,48,38,0
39,2,329980,15,10,2,2,0,4,1,0,0,40,38,1
30,2,169269,1,7,4,5,2,4,1,0,1721,38,32,0
38,1,34744,15,10,0,0,4,4,0,0,0,38,38,0
26,2,98114,11,9,0,3,3,4,0,0,0,40,38,0
20,2,109667,15,10,4,5,3,4,1,0,0,16,38,0
33,2,147430,11,9,2,0,3,4,0,0,0,40,38,0
24,2,224238,9,13,4,0,3,4,1,0,0,40,38,0
42,3,212894,9,13,2,3,0,4,1,0,0,60,38,1
51,4,136708,11,9,2,11,0,1,1,3103,0,84,39,0
56,1,38573,7,12,2,12,0,4,1,0,0,45,38,1
22,2,197200,15,10,4,5,3,4,1,0,0,40,38,0
52,4,182796,15,10,2,4,0,4,1,0,0,60,38,0
44,2,184527,9,13,0,3,4,4,0,4934,0,45,38,1
34,2,145231,11,9,2,0,5,4,0,4064,0,35,38,0
51,2,43354,15,10,0,2,1,4,1,0,0,42,38,1
19,2,355712,15,10,4,11,1,4,0,0,0,25,38,0
37,2,98776,9,13,2,3,0,4,1,0,0,40,38,1
68,2,257557,11,9,2,6,0,2,1,0,0,40,38,1
22,2,102258,15,10,0,10,1,4,1,0,0,40,38,0
56,3,170287,9,13,2,3,0,4,1,0,0,40,38,0
37,2,243409,11,9,2,2,0,4,1,0,0,40,38,0
52,2,55608,3,2,2,6,0,4,1,0,0,40,25,0
26,2,248057,11,9,5,5,3,4,1,0,0,40,32,0
33,2,95530,12,14,2,9,0,4,1,0,0,50,38,0
45,1,54038,12,14,0,9,4,4,0,0,0,42,38,0
18,2,161245,1,7,4,7,3,4,1,0,0,15,38,0
43,4,388725,15,10,2,4,0,4,1,0,0,60,38,1
18,2,228216,11,9,4,5,3,4,1,0,0,20,38,0
57,2,78020,11,9,2,2,0,4,1,0,0,40,38,1
41,2,249254,11,9,0,0,4,4,0,3674,0,42,38,0
34,2,87218,12,14,2,3,0,4,1,0,1887,50,38,1
19,2,304299,11,9,4,11,4,4,0,0,0,40,38,0
44,2,196234,6,5,0,7,4,4,0,0,0,55,5,0
56,2,197875,0,6,6,7,4,4,0,0,0,40,38,0
36,3,48063,11,9,2,4,0,4,1,0,0,80,38,0
48,2,253596,9,13,0,3,4,4,0,0,0,48,38,0
29,2,39257,11,9,2,13,0,4,1,0,0,40,38,1
33,2,56150,9,13,4,2,1,4,1,2174,0,40,38,0
31,2,179415,4,3,2,7,0,4,1,0,0,40,25,0
39,2,252445,12,14,2,9,0,4,1,0,0,45,38,1
66,2,275918,11,9,2,3,0,4,1,10605,0,40,38,1
27,2,106562,9,13,4,9,1,4,0,0,0,50,38,1
39,2,198654,11,9,0,3,4,2,0,99999,0,40,38,1
59,2,107318,5,4,2,2,0,4,1,5178,0,50,38,1
26,2,181896,11,9,4,7,3,4,0,0,0,40,38,0
31,2,106014,8,11,0,2,4,4,1,0,0,40,38,0
23,2,197997,11,9,4,5,3,4,1,0,0,30,38,0
36,1,173542,11,9,0,0,4,4,0,0,0,40,38,0
34,2,207564,15,10,2,7,5,4,0,0,0,12,38,1
32,2,224462,11,9,2,13,0,4,1,0,0,84,38,1
37,2,123361,9,13,2,9,0,2,1,0,0,50,38,1
33,2,90409,9,13,4,11,1,4,1,0,0,45,38,0
50,4,165001,14,15,2,9,0,4,1,99999,0,80,38,1
32,0,149573,7,12,4,10,1,2,1,0,0,40,38,0
35,2,249456,9,13,4,0,3,2,0,0,0,40,38,0
37,2,149898,1,7,2,2,0,4,1,0,0,40,38,0
44,2,292985,15,10,0,2,1,4,1,0,0,60,38,0
57,2,50223,15,10,0,5,2,4,1,0,0,25,38,0
29,1,400074,15,10,2,3,3,4,0,0,0,40,38,0
55,2,197399,11,9,2,2,0,4,1,0,0,50,38,1
43,3,209547,14,15,2,9,0,4,1,0,0,25,38,1
43,2,52433,15,10,2,11,0,4,1,0,0,70,38,0
45,4,355978,15,10,2,11,0,4,1,0,0,60,38,1
33,4,48214,12,14,2,9,5,4,0,0,0,8,38,0
26,2,190873,0,6,0,7,4,4,0,0,0,40,10,0
23,2,278390,15,10,2,11,0,4,1,0,0,68,38,0
41,2,203217,5,4,5,2,1,4,1,0,0,40,25,0
24,2,279175,11,9,2,2,0,4,1,0,0,40,38,0
47,4,194590,9,13,2,11,0,4,1,0,0,44,38,0
34,4,198813,11,9,4,2,3,4,1,0,0,45,38,0
40,2,187294,11,9,2,3,0,4,1,0,0,40,38,1
28,2,302903,9,13,2,9,5,1,0,0,1485,40,38,0
24,2,154835,11,9,4,3,3,1,0,0,0,40,34,0
23,2,100345,11,9,4,2,2,4,1,0,0,15,38,0
43,4,126320,11,9,2,3,0,2,1,0,0,40,38,1
26,2,142226,9,13,0,12,1,4,0,0,0,40,38,0
58,4,112076,10,16,1,3,5,4,0,0,1485,35,38,1
52,2,225339,11,9,6,0,4,2,0,0,0,35,38,0
29,2,211208,1,7,2,13,0,4,1,0,0,99,38,1
47,2,200808,1,7,2,7,0,4,1,0,0,35,3,0
49,2,220618,11,9,0,0,4,2,0,0,0,37,38,0
40,2,210493,1,7,6,0,4,4,0,0,0,40,38,0
62,4,369734,11,9,2,0,5,4,0,0,0,40,38,0
49,2,27898,11,9,2,3,0,4,1,0,1977,55,38,1
50,2,138193,9,13,0,9,2,4,0,0,0,50,38,1
31,2,224234,11,9,4,13,3,2,1,0,0,40,38,0
48,1,188741,12,14,4,9,1,4,0,0,0,50,38,0
24,2,183772,11,9,4,2,4,4,0,0,0,40,38,0
37,2,79586,11,9,5,6,3,1,1,0,0,60,38,0
45,2,355781,9,13,2,3,0,1,1,0,0,45,23,1
36,2,116358,12,14,2,3,0,1,1,0,0,45,18,0
45,2,59287,9,13,2,3,0,4,1,0,0,40,38,0
41,2,138868,9,13,4,11,1,4,0,0,0,40,38,0
26,2,185885,7,12,4,12,2,4,0,0,0,20,38,0
17,2,40299,1,7,4,11,3,4,0,0,0,25,38,0
43,2,51494,11,9,2,6,0,4,1,0,0,65,38,0
35,2,179481,11,9,4,13,3,4,1,0,0,55,38,0
38,2,365907,9,13,0,0,4,4,0,0,0,40,38,0
26,2,284343,11,9,4,6,1,4,1,0,0,40,38,0
28,2,204862,15,10,4,3,3,4,0,0,0,40,38,0
38,2,272476,9,13,2,9,5,4,0,0,0,24,38,1
36,2,175130,1,7,0,13,4,4,0,0,0,40,38,0
33,2,118941,11,9,2,0,5,4,0,0,0,40,38,1
19,2,164339,11,9,4,5,3,4,1,1055,0,70,38,0
42,0,55457,0,6,2,0,0,4,1,0,0,40,25,0
50,2,280292,0,6,2,13,0,4,1,0,0,40,38,1
30,2,446894,11,9,2,5,0,4,1,0,0,30,38,0
37,5,67083,15,10,2,9,2,1,1,0,0,40,0,0
54,3,159219,14,15,2,9,0,4,1,99999,0,40,38,1
52,3,168539,9,13,4,3,1,4,1,0,0,40,38,0
33,2,150309,11,9,0,2,1,4,0,0,0,40,38,0
25,2,122999,15,10,4,12,2,4,1,0,0,40,38,0
24,2,302195,9,13,4,11,1,4,1,0,0,45,38,0
26,2,210982,8,11,5,0,4,2,0,114,0,40,38,0
39,2,177140,11,9,5,0,1,4,1,0,0,40,38,1
59,2,113838,11,9,0,7,1,4,0,0,0,40,38,0
29,2,97165,15,10,4,0,4,4,0,0,0,40,38,0
47,2,104301,1,7,4,7,3,4,0,0,0,45,38,0
64,3,115931,11,9,2,13,0,4,1,0,0,50,38,0
21,2,147280,11,9,4,7,3,3,1,0,0,20,38,0
32,2,185433,15,10,2,0,5,2,0,0,0,40,38,1
26,2,599057,11,9,4,3,1,2,0,0,0,37,38,0
62,4,71467,12,14,2,9,0,4,1,0,0,40,38,0
32,2,183977,9,13,2,2,0,4,1,0,0,55,38,1
45,4,196858,11,9,2,3,0,4,1,0,0,60,38,0
31,2,160594,9,13,2,3,0,4,1,0,1887,50,38,1
32,2,65278,11,9,2,0,0,4,1,2580,0,40,38,0
24,2,102258,9,13,2,11,0,4,1,0,0,40,38,0
25,2,196947,9,13,4,11,3,4,0,0,0,40,38,0
41,4,233150,11,9,2,3,0,4,1,0,0,60,38,0
18,2,42857,15,10,4,11,3,4,0,0,0,20,38,0
44,2,118059,10,16,2,9,0,4,1,0,0,55,38,1
40,2,169262,15,10,2,3,0,4,1,3411,0,50,38,0
27,2,95108,9,13,4,9,1,4,1,0,0,40,38,0
23,2,161092,9,13,4,0,3,4,1,0,0,40,38,0
21,2,345253,15,10,4,0,1,3,1,2174,0,40,38,0
37,5,111275,11,9,2,13,0,4,1,0,0,40,38,0
65,4,178878,11,9,2,4,0,4,1,0,0,48,38,0
43,0,157237,12,14,2,9,0,4,1,0,0,40,38,1
45,2,155664,11,9,4,0,1,4,1,0,0,44,38,0
24,5,322658,9,13,4,3,1,4,0,0,0,40,38,0
24,2,208503,15,10,4,6,1,4,1,0,0,42,38,0
19,1,223326,15,10,4,10,3,4,1,0,1721,35,38,0
37,2,20308,9,13,2,9,0,4,1,0,0,65,38,1
24,2,124751,11,9,4,0,3,4,0,0,0,35,38,0
34,2,113364,15,10,2,6,0,4,1,0,0,40,10,0
50,5,196900,11,9,2,7,5,4,0,0,0,39,38,0
36,2,168170,11,9,2,2,0,4,1,0,0,40,32,0
39,2,205338,9,13,2,11,0,4,1,0,0,60,38,0
44,4,98806,5,4,2,2,0,4,1,0,0,38,38,0
45,5,226452,11,9,2,7,0,4,1,0,0,40,38,0
32,5,479179,1,7,4,10,3,4,1,0,0,40,38,0
47,0,471990,12,14,2,3,0,2,1,0,0,40,38,1
50,2,44728,11,9,2,6,0,4,1,0,0,40,38,0
32,2,33117,8,11,2,7,0,4,1,0,0,40,38,0
19,2,264876,11,9,4,5,3,4,1,0,0,40,38,0
28,2,193122,11,9,0,11,2,4,1,0,0,50,38,0
39,0,149347,12,14,4,9,1,4,1,0,0,40,30,1
21,2,129172,15,10,4,7,1,4,1,2907,0,40,38,0
73,4,151255,15,10,6,4,1,4,0,0,0,75,38,0
39,2,98886,5,4,2,7,0,4,1,4508,0,40,25,0
25,2,238673,15,10,4,6,1,4,1,0,0,40,38,0
31,2,137991,15,10,1,11,5,4,0,0,0,20,38,0
51,2,85942,15,10,0,11,1,4,0,0,0,32,38,0
39,2,85783,9,13,2,0,5,4,0,0,0,28,38,0
31,2,174789,9,13,0,5,3,4,1,0,0,40,38,0
21,2,457162,15,10,4,11,3,2,1,0,0,17,38,0
46,2,176026,9,13,0,3,1,4,1,27828,0,50,38,1
73,2,88594,11,9,0,3,1,4,0,0,0,35,38,0
