age_binary,sex_binary,race_C,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,Violence_score,Recidivism_score,is_recid
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.37,-2.03,0
0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.32,0.45,1
0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,6,-1.53,-0.3,1
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.28,-1.3,0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-4.32,-2.63,1
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,-3.69,-1.7,0
0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,-2.21,-1.11,0
1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,-1.97,0.21,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.75,-0.44,1
1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,-3.23,0.02,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.16,-1.14,1
1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,6,-3.93,-1.73,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.8,-0.8,1
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2.98,-1.48,1
1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,6,-3.11,-1.11,1
1,1,2,0,0,0,0,0,2,2,1,0,0,1,1,1,-3.71,-1.46,1
1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,-1.13,0.34,1
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.98,-0.67,1
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,-1.25,0.5,1
1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,-2.13,-1.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-2.08,-0.83,1
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,-2.98,-1.15,1
0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.04,-1.0,0
1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,-3.0,-0.94,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.93,-2.39,0
1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,-3.39,-1.12,0
1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,2,-2.2,-0.58,0
0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,-0.67,0.4,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,-2.09,-0.35,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.14,0.87,1
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.64,-1.23,0
0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,-1.53,-0.09,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,5,-2.37,-0.47,1
0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.73,0.14,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3.26,-1.84,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.36,-0.7,0
0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,-1.38,0.14,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,-4.11,-2.73,1
1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,-2.41,0.34,0
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.06,-0.41,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-2.09,-0.21,0
0,0,2,0,0,0,0,0,2,0,1,0,0,2,0,0,-2.52,-1.14,0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,-4.3,-2.61,0
1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-4.05,-2.51,1
1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.9,-1.05,0
1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.25,-1.27,1
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-3.86,-2.3,0
0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,-2.06,-0.3,0
1,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,-2.25,-0.37,0
1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,-3.29,-1.72,1
0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,-2.87,-0.57,1
1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,-0.83,0.54,0
0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,-1.8,0.46,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.56,-0.88,1
1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-3.35,-1.81,0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.57,-1.77,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,-2.95,-0.53,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,-2.3,-0.67,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,4,-2.04,0.55,1
0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,-2.28,-0.44,0
0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,-1.7,-0.74,0
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-2.77,-1.04,0
0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,-2.2,-0.61,0
0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,-1.96,0.25,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02,-1.07,1
0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,-1.06,0.57,0
0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,-1.59,0.12,0
1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,-3.92,-2.45,0
0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,-0.61,0.28,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.33,-0.34,1
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-2.12,-0.88,0
0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,-1.45,0.21,1
1,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,-3.44,-1.96,0
1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.07,-1.41,0
1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,2,-0.78,-0.01,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.94,-1.18,0
0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,-0.88,0.49,1
0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.76,-0.24,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.5,-1.17,1
0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,-2.88,-1.55,0
0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.09,-0.38,1
0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,-1.37,-0.65,1
0,0,2,0,1,0,0,0,0,0,1,1,0,2,0,0,-1.45,0.14,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.36,-0.79,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.47,0.22,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.84,-0.21,1
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.41,-1.94,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.18,-0.69,0
0,0,1,0,0,0,0,0,2,0,1,0,0,2,1,0,-2.36,-0.52,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.43,-2.0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1.46,0.42,0
0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.56,-0.02,0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-3.59,-1.92,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2.18,-0.98,1
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.49,-1.47,0
1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,6,-3.61,-0.28,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.14,-0.41,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.48,-0.19,1
0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,-1.57,-0.1,1
0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,-1.08,0.81,1
0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.22,-1.07,0
0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,-1.24,1.01,0
0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.2,-0.62,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,-3.09,-0.76,0
0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.49,-1.37,0
1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,-2.44,0.01,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-2.58,0.09,1
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.54,-2.0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-3.27,-1.73,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-2.33,-0.39,1
1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,-3.35,-1.85,0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-3.54,-1.15,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.94,-0.72,0
0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,-1.34,0.43,1
0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,-1.59,0.14,1
1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,-3.24,-1.72,1
0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.11,-0.73,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-1.29,-0.42,1
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.09,-0.58,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.94,-0.49,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.6,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.86,-1.39,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.97,-0.48,1
0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.96,-0.76,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-2.88,-0.76,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,-3.86,-0.55,0
0,1,0,0,1,0,0,0,1,0,1,1,0,2,0,4,-1.29,-0.53,0
0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,-1.4,-0.4,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.8,0.1,1
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,-4.35,-2.77,0
0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,-0.65,0.19,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.15,-0.97,0
1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,-3.41,-1.34,1
0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-3.27,-1.89,0
0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.96,-0.9,0
0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,-2.69,-1.43,0
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-3.2,-1.65,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-2.52,-0.9,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,-2.99,-1.59,0
0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.13,0.58,1
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-2.44,-1.28,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.84,0.73,1
1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,-3.79,-2.18,0
1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,-4.2,-2.64,0
0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,-1.53,0.31,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.13,0.39,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.96,-1.72,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31,-0.48,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.77,0.46,1
